"Night Train","Name","Itinerary","More details","Route","Countries","Operator","Tickets"
" ",,,"<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id="">View details</a>",,,,
"FS IC Notte 1964 + IC Notte 1967",,"Palermo – Milano","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=84"">View details</a>","IC Notte 1964: Palermo Centrale - Termini Imerese - Barcellona Castroreale - Messina Centrale - Lamezia Terme Centrale - Salerno - Firenze S. M. N. - Bologna Centrale - Milano Centrale<br><br>IC Notte 1967: Milano Centrale - Bologna Centrale - Firenze S. M. N. - Salerno - Lamezia Terme Centrale - Messina Centrale - Barcellona Castroreale - Termini Imerese - Palermo Centrale","IT","FS","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.trenitalia.com/en.html"">Book tickets</a>"
"FS IC Notte 752 + IC Notte 755",,"Lecce – Milano","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=86"">View details</a>","IC Notte 752: Lecce - Brindisi - Bari Centrale - Foggia - Bologna Centrale - Milano Centrale<br><br>IC Notte 755: Milano Centrale - Bologna Centrale - Foggia - Bari Centrale - Brindisi - Lecce","IT","FS","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.trenitalia.com/en.html"">Book tickets</a>"
"FS IC Notte 754 + IC Notte 757",,"Lecce – Torino","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=97"">View details</a>","IC Notte 754: Lecce - Brindisi - Bari Centrale - Foggia - Bologna Centrale - Torino Lingotto<br><br>IC Notte 757: Torino Lingotto - Bologna Centrale - Foggia - Bari Centrale - Brindisi - Lecce","IT","FS","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.trenitalia.com/en.html"">Book tickets</a>"
"FS IC Notte 758 + IC Notte 765",,"Lecce – Milano","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=76"">View details</a>","IC Notte 758: Lecce - Brindisi - Taranto - Bari Centrale - Foggia - Bologna Centrale - Milano Centrale<br><br>IC Notte 765: Milano Centrale - Bologna Centrale - Foggia - Bari Centrale","IT","FS","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.trenitalia.com/en.html"">Book tickets</a>"
"FS IC Notte 763 + IC Notte 764",,"Bolzano – Roma","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=106"">View details</a>","IC Notte 763: Bolzano / Bozen - Verona Porta Nuova - Orvieto - Roma Termini<br><br>IC Notte 764: Roma Termini - Orvieto - Verona Porta Nuova - Bolzano / Bozen","IT","FS","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.trenitalia.com/en.html"">Book tickets</a>"
"FS IC Notte 770 + IC Notte 774",,"Trieste – Roma","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=105"">View details</a>","IC Notte 770: Trieste Centrale - Udine - Venezia Santa Lucia - Bologna Centrale - Roma Termini<br><br>IC Notte 774: Roma Termini - Venezia Santa Lucia - Udine - Trieste Centrale","IT","FS","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.trenitalia.com/en.html"">Book tickets</a>"
"FS IC Notte 788 + IC Notte 789",,"Lecce – Roma","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=96"">View details</a>","IC Notte 788: Lecce - Brindisi - Bari Centrale - Roma Termini<br><br>IC Notte 789: Roma Termini - Bari Centrale - Brindisi - Lecce","IT","FS","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.trenitalia.com/en.html"">Book tickets</a>"
"FS IC Notte 794 + IC Notte 795",,"Reggio Calabria – Torino","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=100"">View details</a>","IC Notte 794: Reggio Calabria Centrale - Tropea - Lamezia Terme Centrale - Roma Ostiense - Civitavecchia - Grosseto - Livorno Centrale  - Pisa Centrale - La Spezia Centrale - Genova Piazza Principe / Zêna - Torino Lingotto<br><br>IC Notte 795: Torino Lingotto - Genova Piazza Principe / Zêna - La Spezia Centrale - Pisa Centrale - Livorno Centrale  - Grosseto - Civitavecchia - Roma Ostiense - Lamezia Terme Centrale - Tropea - Reggio Calabria Centrale","IT","FS","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.trenitalia.com/en.html"">Book tickets</a>"
"FS IC Notte 796 + IC Notte 1515",,"Salerno – Torino","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=99"">View details</a>","IC Notte 796: Salerno - Napoli Centrale  - Roma Tiburtina - Pisa Centrale - La Spezia Centrale - Genova Piazza Principe / Zêna - Torino Lingotto<br><br>IC Notte 1515: Torino Lingotto - Genova Piazza Principe / Zêna - La Spezia Centrale - Pisa Centrale - Civitavecchia - Roma Ostiense - Napoli Centrale  - Salerno","IT","FS","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.trenitalia.com/en.html"">Book tickets</a>"
"FS IC Notte 797 + IC Notte 798",,"Torino – Salerno","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=83"">View details</a>","IC Notte 797: Torino Porta Susa - Milano Porta Garibaldi - Roma Tiburtina - Napoli Centrale  - Salerno<br><br>IC Notte 798: Salerno - Napoli Centrale  - Roma Tiburtina - Orvieto - Milano Porta Garibaldi - Torino Porta Susa","IT","FS","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.trenitalia.com/en.html"">Book tickets</a>"
"GA F5 725 + F5 726","F5","Oslo – Stavanger","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=65"">View details</a>","F5 725: Oslo S - Drammen - Kongsberg - Sandnes - Stavanger<br><br>F5 726: Stavanger - Sandnes - Kongsberg - Drammen - Oslo S","NO","GA","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://go-aheadnordic.no/planner"">Book tickets</a>"
"GWR Sleeper (Penzance) + Sleeper (London)","Night Riviera","London – Penzance","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=42"">View details</a>","Sleeper (Penzance): London Paddington - Reading - Plymouth - Penzance<br><br>Sleeper (London): Penzance - Plymouth - London Paddington","GB","GWR","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.gwr.com/"">Book tickets</a>"
"HŽPP 1820 + 1821",,"Split – Zagreb","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=3"">View details</a>","1820: Split - Knin - Karlovac - Zagreb Gl. K.<br><br>1821: Zagreb Gl. K. - Karlovac - Knin - Split","HR","HŽPP","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.hzpp.hr/en/#"">Book tickets</a>"
"HŽPP 1840 + 1841",,"Vukovar – Split","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=47"">View details</a>","1840: Vukovar - Slavonski Brod - Zagreb Gl. K. - Karlovac - Knin - Split<br><br>1841: Split - Knin - Zagreb Gl. K. - Slavonski Brod - Vukovar","HR","HŽPP","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.hzpp.hr/en/#"">Book tickets</a>"
"HŽPP 1880 + 1881","Dalmacija","Osijek – Split","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=48"">View details</a>","1880: Osijek - Zagreb Gl. K. - Knin - Split<br><br>1881: Split - Knin - Zagreb Gl. K. - Bjelovar - Osijek","HR","HŽPP","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.hzpp.hr/en/#"">Book tickets</a>"
"HŽPP/ÖBB EN 40414 + EN 40465",,"Zagreb – Zürich","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=117"">View details</a>","EN 40414: Zagreb Gl. K. - Ljubljana - Villach Hbf - Innsbruck Hbf - St. Anton am Arlberg - Feldkirch - Buchs (SG) - Zürich HB<br><br>EN 40465: Zürich HB - Buchs (SG) - Feldkirch - Bludenz - St. Anton am Arlberg - Innsbruck Hbf - Villach Hbf - Ljubljana - Zagreb Gl. K.","AT, CH, SI, HR","HŽPP, ÖBB","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.hzpp.hr/en/#"">Book tickets</a>"
"HŽPP/ÖBB EN 414 + EN 40237",,"Zagreb – Stuttgart","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=57"">View details</a>","EN 414: Zagreb Gl. K. - Ljubljana - Villach Hbf - Rosenheim - München Ost - Augsburg Hbf - Ulm Hbf - Stuttgart Hbf<br><br>EN 40237: Stuttgart Hbf - Ulm Hbf - Augsburg Hbf - München Ost - Rosenheim - Villach Hbf - Ljubljana - Zagreb Gl. K.","DE, AT, SI, HR","HŽPP, ÖBB","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.hzpp.hr/en/#"">Book tickets</a>"
"MÁV 1246 / 1605 / 481 + 480 / 1604 / 1247","Istria","Budapest – Rijeka","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=224"">View details</a>","1246 / 1605 / 481: Budapest Déli - Budapest Kelenföld - Vesprem - Zalaegerszeg - Ljubljana - Opatija Matulji - Rijeka<br><br>480 / 1604 / 1247: Rijeka - Opatija Matulji - Ljubljana - Zalaegerszeg - Vesprem - Budapest Kelenföld - Budapest Déli","HU, SI, HR","MÁV","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://jegy.mav.hu/"">Book tickets</a>"
"MÁV EN 40457 + EN 40476",,"Berlin – Budapest","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=58"">View details</a>","EN 40457: Berlin Hbf - Berlin Südkreuz - Dresden Neustadt - Dresden Hbf - Ústí n.L.hl.n. - Praha-Holešovice - Bratislava hl.st. - Vac - Budapest Nyugati<br><br>EN 40476: Budapest Nyugati - Vac - Bratislava hl.st. - Brno hl.n. - Dresden Hbf - Dresden Neustadt - Berlin Südkreuz - Berlin Hbf","DE, CZ, SK, HU","MÁV","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://jegy.mav.hu/"">Book tickets</a>"
"MÁV IC 1204 + IC 1205","Adria","Budapest – Split","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=225"">View details</a>","IC 1204: Budapest Keleti - Budapest Kelenföld - Székesfehérvár - Siófok - Nagykanizsa - Zagreb Gl. K. - Karlovac - Knin - Split<br><br>IC 1205: Split - Knin - Karlovac - Zagreb Gl. K. - Nagykanizsa - Siófok - Székesfehérvár - Budapest Kelenföld - Budapest Keleti","HU, HR","MÁV","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://jegy.mav.hu/"">Book tickets</a>"
"MÁV/ÖBB EN 40462 + EN 40467",,"Budapest – Zürich","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=74"">View details</a>","EN 40462: Budapest Keleti - Budapest Kelenföld - Győr - Wien Hbf - Wien Meidling - St. Pölten Hbf - Linz Hbf - Bludenz - Feldkirch - Buchs (SG) - Zürich HB<br><br>EN 40467: Zürich HB - Buchs (SG) - Feldkirch - Bludenz - Linz Hbf - St. Pölten Hbf - Wien Meidling - Wien Hbf - Győr - Budapest Kelenföld - Budapest Keleti","AT, CH, HU","MÁV, ÖBB","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://jegy.mav.hu/"">Book tickets</a>"
"MÁV/ÖBB EN 50237 + EN 50462","Kálman Imre","Budapest – Stuttgart","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=54"">View details</a>","EN 50237: Budapest Keleti - Budapest Kelenföld - Győr - Wien Hbf - Wien Meidling - St. Pölten Hbf - Linz Hbf - Rosenheim - München Ost - Augsburg Hbf - Ulm Hbf - Stuttgart Hbf<br><br>EN 50462: Stuttgart Hbf - Ulm Hbf - Augsburg Hbf - München Ost - Salzburg Hbf - Linz Hbf - St. Pölten Hbf - Wien Meidling - Wien Hbf - Győr - Budapest Kelenföld - Budapest Keleti","DE, AT, HU","MÁV, ÖBB","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://jegy.mav.hu/"">Book tickets</a>"
"MÁV/PKP IC 407 / EN 477 + EN 476",,"Warszawa – Budapest","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=127"">View details</a>","IC 407 / EN 477: Warszawa Wschodnia - Warszawa Centralna - Kraków Gł. - Trzebinia - Katowice - Rybnik - Bratislava hl.st. - Nové Zámky - Vac - Budapest Nyugati<br><br>EN 476: Budapest Nyugati - Vac - Nové Zámky - Bratislava hl.st. - Břeclav - Katowice - Trzebinia - Kraków Gł. - Warszawa Centralna","PL, CZ, SK, HU","MÁV, PKP","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://booking.polrail.com/"">Book tickets</a>"
"ÖBB NJ 233 + NJ 235",,"Wien – La Spezia","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=231"">View details</a>","NJ 233: Wien Hbf - Klagenfurt Hbf - Villach Hbf - Verona Porta Nuova - Milano Rogoredo - Genova Piazza Principe / Zêna - Levanto - La Spezia Centrale<br><br>NJ 235: La Spezia Centrale - Levanto - Genova Piazza Principe / Zêna - Milano Rogoredo - Verona Porta Nuova - Klagenfurt Hbf - Bruck an der Mur - Wiener Neustadt Hbf - Wien Hbf","AT, IT","ÖBB","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.nightjet.com/"">Book tickets</a>"
"ÖBB NJ 236 + NJ 237",,"Venezia – Stuttgart","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=53"">View details</a>","NJ 236: Venezia Santa Lucia - Udine - Villach Hbf - Salzburg Hbf - München Ost - Augsburg Hbf - Ulm Hbf - Stuttgart Hbf<br><br>NJ 237: Stuttgart Hbf - Ulm Hbf - Augsburg Hbf - München Ost - Salzburg Hbf - Villach Hbf - Udine - Venezia Santa Lucia","DE, AT, IT","ÖBB","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.nightjet.com/"">Book tickets</a>"
"ÖBB NJ 294 + NJ 295",,"Roma – München","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=49"">View details</a>","NJ 294: Roma Termini - Firenze S. M. N. - Bologna Centrale - Villach Hbf - Salzburg Hbf - Rosenheim - München Hbf<br><br>NJ 295: München Hbf - Rosenheim - Salzburg Hbf - Villach Hbf - Bologna Centrale - Firenze S. M. N. - Roma Termini","DE, AT, IT","ÖBB","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.nightjet.com/"">Book tickets</a>"
"ÖBB NJ 402 + NJ 403",,"Zürich – Amsterdam","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=44"">View details</a>","NJ 402: Zürich HB - Basel SBB - Basel Bad Bf - Freiburg (Breisgau) Hbf - Offenburg - Bonn-Beuel - Köln Hbf - Eindhoven Centraal - Utrecht Centraal - Amsterdam Centraal<br><br>NJ 403: Amsterdam Centraal - Utrecht Centraal - Eindhoven Centraal - Köln Hbf - Bonn-Beuel - Offenburg - Freiburg (Breisgau) Hbf - Basel Bad Bf - Basel SBB - Zürich HB","DE, CH, NL","ÖBB","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.nightjet.com/"">Book tickets</a>"
"ÖBB NJ 40233 + NJ 40294",,"Wien – Roma","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=232"">View details</a>","NJ 40233: Wien Hbf - Wiener Neustadt Hbf - Bruck an der Mur - Klagenfurt Hbf - Villach Hbf - Bologna Centrale - Firenze S. M. N. - Roma Termini<br><br>NJ 40294: Roma Termini - Firenze S. M. N. - Bologna Centrale - Villach Hbf - Klagenfurt Hbf - Wien Hbf","AT, IT","ÖBB","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.nightjet.com/"">Book tickets</a>"
"ÖBB NJ 40235 + NJ 40295",,"La Spezia – München","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=51"">View details</a>","NJ 40235: La Spezia Centrale - Levanto - Genova Piazza Principe / Zêna - Milano Rogoredo - Verona Porta Nuova - Villach Hbf - Salzburg Hbf - München Hbf<br><br>NJ 40295: München Hbf - Rosenheim - Salzburg Hbf - Villach Hbf - Verona Porta Nuova - Milano Rogoredo - Genova Piazza Principe / Zêna - Levanto - La Spezia Centrale","DE, AT, IT","ÖBB","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.nightjet.com/"">Book tickets</a>"
"ÖBB NJ 40236 + NJ 40466",,"Venezia – Wien","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=233"">View details</a>","NJ 40236: Venezia Santa Lucia - Treviso Centrale - Udine - Villach Hbf - Salzburg Hbf - Linz Hbf - Wien Hbf<br><br>NJ 40466: Wien Hbf - St. Pölten Hbf - Linz Hbf - Salzburg Hbf - Villach Hbf - Udine - Treviso Centrale - Venezia Santa Lucia","AT, IT","ÖBB","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.nightjet.com/"">Book tickets</a>"
"ÖBB NJ 40420 + NJ 40491",,"Innsbruck – Hamburg","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=18"">View details</a>","NJ 40420: Innsbruck Hbf - Jenbach - Wörgl Hbf - Kufstein - Rosenheim - München Hbf - Augsburg Hbf - Nürnberg Hbf - Kassel-Wilhelmshöhe - Göttingen - Hannover Hbf - Hamburg Harburg - Hamburg Hbf - Hamburg Altona<br><br>NJ 40491: Hamburg Altona - Hamburg Hbf - Hannover Hbf - Göttingen - Augsburg Hbf - München Ost - Rosenheim - Wörgl Hbf - Jenbach - Innsbruck Hbf","DE, AT","ÖBB","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.nightjet.com/"">Book tickets</a>"
"ÖBB NJ 40421 + NJ 40490",,"Amsterdam – Wien","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=46"">View details</a>","NJ 40421: Amsterdam Centraal - Amersfoort Centraal - Deventer - Münster (Westf) Hbf - Hamm (Westf) Hbf - Kassel-Wilhelmshöhe - Würzburg Hbf - Nürnberg Hbf - Regensburg Hbf - Passau Hbf - Wels Hbf - Linz Hbf - St. Pölten Hbf - Wien Meidling - Wien Hbf<br><br>NJ 40490: Wien Hbf - Wien Meidling - St. Pölten Hbf - Linz Hbf - Passau Hbf - Regensburg Hbf - Nürnberg Hbf - Würzburg Hbf - Kassel-Wilhelmshöhe - Hamm (Westf) Hbf - Münster (Westf) Hbf - Deventer - Amersfoort Centraal - Amsterdam Centraal","DE, AT, NL","ÖBB","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.nightjet.com/"">Book tickets</a>"
"ÖBB NJ 40424 + NJ 40469",,"Berlin – Paris","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=260"">View details</a>","NJ 40424: Berlin Hbf - Berlin Südkreuz - Halle/Saale Hbf - Erfurt - Paris Est<br><br>NJ 40469: Paris Est - Erfurt - Halle/Saale Hbf - Berlin Südkreuz - Berlin Hbf","DE, FR","ÖBB","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.nightjet.com/"">Book tickets</a>"
"ÖBB NJ 40425 + NJ 50490",,"Bruxelles / Brussel – Wien","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=1"">View details</a>","NJ 40425: Bruxelles-Midi / Brussel-Zuid - Bruxelles-Nord / Brussel-Noord - Liège-Guillemins - Aachen Hbf - Köln Ehrenfeld - Bonn Hbf - Koblenz Hbf - Mainz Hbf - München Ost - Rosenheim - Salzburg Hbf - Linz Hbf - St. Pölten Hbf - Wien Meidling - Wien Hbf<br><br>NJ 50490: Wien Hbf - Wien Meidling - St. Pölten Hbf - Linz Hbf - Salzburg Hbf - Rosenheim - München Ost - Koblenz Hbf - Bonn Hbf - Köln Ehrenfeld - Aachen Hbf - Liège-Guillemins - Bruxelles-Nord / Brussel-Noord - Bruxelles-Midi / Brussel-Zuid","BE, DE, AT","ÖBB","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.nightjet.com/"">Book tickets</a>"
"ÖBB NJ 408 + NJ 409",,"Berlin – Zürich","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=2"">View details</a>","NJ 408: Berlin Hbf - Berlin Südkreuz - Halle/Saale Hbf - Leipzig Hbf - Karlsruhe Hbf - Offenburg - Freiburg (Breisgau) Hbf - Basel SBB - Zürich HB<br><br>NJ 409: Zürich HB - Basel SBB - Freiburg (Breisgau) Hbf - Offenburg - Karlsruhe Hbf - Leipzig Hbf - Halle/Saale Hbf - Lutherstadt Wittenberg Hbf - Berlin Südkreuz - Berlin Hbf","DE, CH","ÖBB","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.nightjet.com/"">Book tickets</a>"
"ÖBB NJ 420 + NJ 421",,"Innsbruck – Amsterdam","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=45"">View details</a>","NJ 420: Innsbruck Hbf - Jenbach - Wörgl Hbf - Kufstein - Rosenheim - München Hbf - Augsburg Hbf - Nürnberg Hbf - Würzburg Hbf - Kassel-Wilhelmshöhe - Hamm (Westf) Hbf - Münster (Westf) Hbf - Deventer - Amersfoort Centraal - Amsterdam Centraal<br><br>NJ 421: Amsterdam Centraal - Amersfoort Centraal - Deventer - Münster (Westf) Hbf - Hamm (Westf) Hbf - Kassel-Wilhelmshöhe - Würzburg Hbf - Nürnberg Hbf - Augsburg Hbf - München Hbf - Rosenheim - Kufstein - Wörgl Hbf - Jenbach - Innsbruck Hbf","DE, AT, NL","ÖBB","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.nightjet.com/"">Book tickets</a>"
